nr_samples	intro_prob	run	intro_percentage
1	1.000000	1	0.100000
2	0.838900	1	0.100000
5	0.605700	1	0.100000
11	0.491700	1	0.100000
26	0.426200	1	0.100000
58	0.361600	1	0.100000
131	0.299800	1	0.100000
295	0.240200	1	0.100000
666	0.192800	1	0.100000
1500	0.137800	1	0.100000
1	1.000000	2	0.100000
2	0.845100	2	0.100000
5	0.607200	2	0.100000
11	0.484000	2	0.100000
26	0.413900	2	0.100000
58	0.369300	2	0.100000
131	0.304800	2	0.100000
295	0.235100	2	0.100000
666	0.189600	2	0.100000
1500	0.141300	2	0.100000
1	1.000000	3	0.100000
2	0.840200	3	0.100000
5	0.604000	3	0.100000
11	0.481400	3	0.100000
26	0.419000	3	0.100000
58	0.363400	3	0.100000
131	0.303500	3	0.100000
295	0.249300	3	0.100000
666	0.183700	3	0.100000
1500	0.140000	3	0.100000
1	1.000000	4	0.100000
2	0.842700	4	0.100000
5	0.607500	4	0.100000
11	0.479700	4	0.100000
26	0.422800	4	0.100000
58	0.368500	4	0.100000
131	0.304600	4	0.100000
295	0.246000	4	0.100000
666	0.196400	4	0.100000
1500	0.150000	4	0.100000
1	1.000000	5	0.100000
2	0.841600	5	0.100000
5	0.610400	5	0.100000
11	0.482300	5	0.100000
26	0.418000	5	0.100000
58	0.366700	5	0.100000
131	0.302800	5	0.100000
295	0.254900	5	0.100000
666	0.187400	5	0.100000
1500	0.131900	5	0.100000
1	1.000000	6	0.100000
2	0.840100	6	0.100000
5	0.604900	6	0.100000
11	0.483000	6	0.100000
26	0.413900	6	0.100000
58	0.362600	6	0.100000
131	0.303500	6	0.100000
295	0.241100	6	0.100000
666	0.185300	6	0.100000
1500	0.136700	6	0.100000
1	1.000000	7	0.100000
2	0.841000	7	0.100000
5	0.607600	7	0.100000
11	0.480400	7	0.100000
26	0.421200	7	0.100000
58	0.364000	7	0.100000
131	0.304900	7	0.100000
295	0.250000	7	0.100000
666	0.188900	7	0.100000
1500	0.144200	7	0.100000
1	1.000000	8	0.100000
2	0.836600	8	0.100000
5	0.599200	8	0.100000
11	0.479000	8	0.100000
26	0.416700	8	0.100000
58	0.372900	8	0.100000
131	0.305400	8	0.100000
295	0.240500	8	0.100000
666	0.189300	8	0.100000
1500	0.145200	8	0.100000
1	1.000000	9	0.100000
2	0.835900	9	0.100000
5	0.613300	9	0.100000
11	0.488100	9	0.100000
26	0.407900	9	0.100000
58	0.359700	9	0.100000
131	0.305700	9	0.100000
295	0.250000	9	0.100000
666	0.188500	9	0.100000
1500	0.140100	9	0.100000
1	1.000000	10	0.100000
2	0.837400	10	0.100000
5	0.616000	10	0.100000
11	0.481100	10	0.100000
26	0.425600	10	0.100000
58	0.360100	10	0.100000
131	0.305500	10	0.100000
295	0.250800	10	0.100000
666	0.196400	10	0.100000
1500	0.147900	10	0.100000
1	1.000000	1	0.030000
2	0.266500	1	0.030000
5	0.143500	1	0.030000
11	0.142400	1	0.030000
26	0.127600	1	0.030000
58	0.108700	1	0.030000
131	0.094000	1	0.030000
295	0.072600	1	0.030000
666	0.056800	1	0.030000
1500	0.045800	1	0.030000
1	1.000000	2	0.030000
2	0.267700	2	0.030000
5	0.137600	2	0.030000
11	0.133700	2	0.030000
26	0.132700	2	0.030000
58	0.113500	2	0.030000
131	0.087000	2	0.030000
295	0.072800	2	0.030000
666	0.056500	2	0.030000
1500	0.040800	2	0.030000
1	1.000000	3	0.030000
2	0.265700	3	0.030000
5	0.145900	3	0.030000
11	0.135300	3	0.030000
26	0.132300	3	0.030000
58	0.115300	3	0.030000
131	0.089100	3	0.030000
295	0.072800	3	0.030000
666	0.057700	3	0.030000
1500	0.044100	3	0.030000
1	1.000000	4	0.030000
2	0.271200	4	0.030000
5	0.144700	4	0.030000
11	0.142100	4	0.030000
26	0.123900	4	0.030000
58	0.112300	4	0.030000
131	0.089100	4	0.030000
295	0.077000	4	0.030000
666	0.056900	4	0.030000
1500	0.042600	4	0.030000
1	1.000000	5	0.030000
2	0.266800	5	0.030000
5	0.148000	5	0.030000
11	0.141800	5	0.030000
26	0.124600	5	0.030000
