filename	number	size	clade
multicoal_skygrid_1	1	4	G
multicoal_skygrid_1	2	1	D
multicoal_skygrid_1	3	1	D
multicoal_skygrid_1	4	7	D
multicoal_skygrid_1	5	1	D
multicoal_skygrid_1	6	562	D
multicoal_skygrid_1	7	1	D
multicoal_skygrid_1	8	1	D
multicoal_skygrid_1	9	1	D
multicoal_skygrid_1	10	1	D
multicoal_skygrid_1	11	1	D
multicoal_skygrid_1	12	1	D
multicoal_skygrid_1	13	1	D
multicoal_skygrid_1	14	1	D
multicoal_skygrid_1	15	1	D
multicoal_skygrid_1	16	1	D
multicoal_skygrid_1	17	1	D
multicoal_skygrid_1	18	1	D
multicoal_skygrid_1	19	2	D
multicoal_skygrid_1	20	4	D
multicoal_skygrid_1	21	1	D
multicoal_skygrid_1	22	2	D
multicoal_skygrid_1	23	1	D
multicoal_skygrid_1	24	3	D
multicoal_skygrid_1	25	1	D
multicoal_skygrid_1	26	1	G
multicoal_skygrid_1	27	1	G
multicoal_skygrid_1	28	1	G
multicoal_skygrid_1	29	3	G
multicoal_skygrid_1	30	1	G
multicoal_skygrid_1	31	1	G
multicoal_skygrid_1	32	3	G
multicoal_skygrid_1	33	1	G
multicoal_skygrid_1	34	1	G
multicoal_skygrid_1	35	1	G
multicoal_skygrid_1	36	1	G
multicoal_skygrid_1	37	1	G
multicoal_skygrid_1	38	1	G
multicoal_skygrid_1	39	1	G
multicoal_skygrid_1	40	1	G
multicoal_skygrid_1	41	1	G
multicoal_skygrid_1	42	1	G
multicoal_skygrid_1	43	1	G
multicoal_skygrid_1	44	1	G
multicoal_skygrid_1	45	2	G
multicoal_skygrid_1	46	1	G
multicoal_skygrid_1	47	1	G
multicoal_skygrid_1	48	1	G
multicoal_skygrid_1	49	3	G
multicoal_skygrid_1	50	4	G
multicoal_skygrid_1	51	1	G
multicoal_skygrid_1	52	1	G
multicoal_skygrid_1	53	1	G
multicoal_skygrid_1	54	1	G
multicoal_skygrid_1	55	9	G
multicoal_skygrid_1	56	1	G
multicoal_skygrid_1	57	8	G
multicoal_skygrid_1	58	34	G
multicoal_skygrid_1	59	1	G
multicoal_skygrid_1	60	1	G
multicoal_skygrid_1	61	1	G
multicoal_skygrid_1	62	1	G
multicoal_skygrid_1	63	1	G
multicoal_skygrid_1	64	1	G
multicoal_skygrid_1	65	1	G
multicoal_skygrid_1	66	1	G
multicoal_skygrid_1	67	1	G
multicoal_skygrid_1	68	5	G
multicoal_skygrid_1	69	1	G
multicoal_skygrid_1	70	1	G
multicoal_skygrid_1	71	1	G
multicoal_skygrid_1	72	467	G
multicoal_skygrid_1	73	1	G
multicoal_skygrid_1	74	2	G
multicoal_skygrid_1	75	1	G
multicoal_skygrid_1	76	2	G
multicoal_skygrid_1	77	1	G
multicoal_skygrid_1	78	2	G
multicoal_skygrid_1	79	1	G
multicoal_skygrid_1	80	1	G
multicoal_skygrid_1	81	2	G
multicoal_skygrid_1	82	4	G
multicoal_skygrid_1	83	1	G
multicoal_skygrid_1	84	1	G
multicoal_skygrid_1	85	1	G
multicoal_skygrid_1	86	1	G
multicoal_skygrid_1	87	1	G
multicoal_skygrid_1	88	1	G
multicoal_skygrid_1	89	1	G
multicoal_skygrid_1	90	1	G
multicoal_skygrid_1	91	1	G
multicoal_skygrid_1	92	1	G
multicoal_skygrid_1	93	1	G
multicoal_skygrid_1	94	1	G
multicoal_skygrid_1	95	1	G
multicoal_skygrid_1	96	1	G
multicoal_skygrid_1	97	1	G
multicoal_skygrid_1	98	1	G
multicoal_skygrid_1	99	1	G
multicoal_skygrid_1	100	16	G
multicoal_skygrid_1	101	2	G
multicoal_skygrid_1	102	1	other
multicoal_skygrid_1	103	5	G
multicoal_skygrid_1	104	1	G
multicoal_skygrid_1	105	1	G
multicoal_skygrid_1	106	1	G
multicoal_skygrid_1	107	1	G
multicoal_skygrid_1	108	1	G
multicoal_skygrid_1	109	14	G
multicoal_skygrid_1	110	2	G
multicoal_skygrid_1	111	5	G
multicoal_skygrid_1	112	3	G
multicoal_skygrid_1	113	62	G
multicoal_skygrid_1	114	1	G
multicoal_skygrid_1	115	1	G
multicoal_skygrid_1	116	2	G
multicoal_skygrid_1	117	1	G
multicoal_skygrid_1	118	3	G
multicoal_skygrid_1	119	1	G
multicoal_skygrid_1	120	2	G
multicoal_skygrid_1	121	1	other
multicoal_skygrid_1	122	1	G
multicoal_skygrid_1	123	4	G
multicoal_skygrid_1	124	8	G
multicoal_skygrid_1	125	1	G
multicoal_skygrid_1	126	3	G
multicoal_skygrid_1	127	4	G
multicoal_skygrid_1	128	1	G
multicoal_skygrid_1	129	1	G
