from_county	to_county	from_lat	to_lat	from_long	to_long	prob	pairs	pairwise
Adams County WA	Asotin County	46.985877	46.146000	-118.480355	-117.208500	0.000000	0.000000	1
Adams County WA	Benton County	46.985877	46.190531	-118.480355	-119.520720	0.000000	0.000000	1
Adams County WA	Chelan County	46.985877	47.801220	-118.480355	-120.627690	0.000000	0.000000	1
Adams County WA	Clark County	46.985877	45.778260	-118.480355	-122.491540	0.000000	0.000000	1
Adams County WA	Cowlitz County	46.985877	46.186419	-118.480355	-122.679487	0.000000	0.000000	1
Adams County WA	Douglas County	46.985877	47.728531	-118.480355	-119.651043	0.000000	0.000000	1
Adams County WA	Franklin County WA	46.985877	46.517555	-118.480355	-118.921601	0.969900	6.000000	1
Adams County WA	Grant County WA	46.985877	47.209925	-118.480355	-119.420874	0.000000	0.000000	1
Adams County WA	Grays Harbor County	46.985877	47.174417	-118.480355	-123.865883	0.000000	0.000000	1
Adams County WA	Jefferson County WA	46.985877	47.728342	-118.480355	-123.606395	0.000000	0.000000	1
Adams County WA	King County	46.985877	47.449221	-118.480355	-121.864246	0.000000	0.000000	1
Adams County WA	Kittitas County	46.985877	47.175000	-118.480355	-120.931900	0.000000	0.000000	1
Adams County WA	Mason County	46.985877	47.425100	-118.480355	-123.195100	0.000000	0.000000	1
Adams County WA	Pierce County	46.985877	47.006605	-118.480355	-122.107847	0.000000	0.000000	1
Adams County WA	San Juan County	46.985877	48.544309	-118.480355	-122.991950	0.000000	0.000000	1
Adams County WA	Skagit County	46.985877	48.485784	-118.480355	-121.815524	0.000000	0.000000	1
Adams County WA	Snohomish County	46.985877	48.006000	-118.480355	-122.073100	0.000000	0.000000	1
Adams County WA	Spokane County	46.985877	47.605929	-118.480355	-117.398931	0.000000	0.000000	1
Adams County WA	Thurston County	46.985877	46.935508	-118.480355	-122.867349	0.000000	0.000000	1
Adams County WA	Umatilla County	46.985877	45.648981	-118.480355	-118.720688	0.000000	0.000000	1
Adams County WA	Walla Walla County	46.985877	46.205515	-118.480355	-118.517428	0.000000	0.000000	1
Adams County WA	Whatcom County	46.985877	48.830959	-118.480355	-121.791189	0.000000	0.000000	1
Adams County WA	Yakima County	46.985877	46.430431	-118.480355	-120.711765	0.021700	6.000000	1
Asotin County	Benton County	46.146000	46.190531	-117.208500	-119.520720	0.000000	0.000000	1
Asotin County	Chelan County	46.146000	47.801220	-117.208500	-120.627690	0.000000	0.000000	1
Asotin County	Clark County	46.146000	45.778260	-117.208500	-122.491540	0.000000	0.000000	1
Asotin County	Cowlitz County	46.146000	46.186419	-117.208500	-122.679487	0.000000	0.000000	1
Asotin County	Douglas County	46.146000	47.728531	-117.208500	-119.651043	0.000000	0.000000	1
Asotin County	Franklin County WA	46.146000	46.517555	-117.208500	-118.921601	0.000000	0.000000	1
Asotin County	Grant County WA	46.146000	47.209925	-117.208500	-119.420874	0.000000	0.000000	1
Asotin County	Grays Harbor County	46.146000	47.174417	-117.208500	-123.865883	0.000000	0.000000	1
Asotin County	Jefferson County WA	46.146000	47.728342	-117.208500	-123.606395	0.000000	0.000000	1
Asotin County	King County	46.146000	47.449221	-117.208500	-121.864246	0.017900	5.000000	1
Asotin County	Kittitas County	46.146000	47.175000	-117.208500	-120.931900	0.000000	0.000000	1
Asotin County	Mason County	46.146000	47.425100	-117.208500	-123.195100	0.000000	0.000000	1
Asotin County	Pierce County	46.146000	47.006605	-117.208500	-122.107847	0.000000	0.000000	1
Asotin County	San Juan County	46.146000	48.544309	-117.208500	-122.991950	0.000000	0.000000	1
Asotin County	Skagit County	46.146000	48.485784	-117.208500	-121.815524	0.000000	0.000000	1
Asotin County	Snohomish County	46.146000	48.006000	-117.208500	-122.073100	0.000000	0.000000	1
Asotin County	Spokane County	46.146000	47.605929	-117.208500	-117.398931	0.237700	2.000000	1
